review_id,bank,rating,rating_category,date,word_count,thumbs_up,review_text
CBE_20251203_000000,CBE,4,positive,2025-07-03,8,5,Commercial Bank of Ethiopia (CBE) app is amazing! easy to use.
CBE_20251203_000001,CBE,3,neutral,2025-10-25,8,3,Commercial Bank of Ethiopia (CBE) app is okay but could be better.
CBE_20251203_000002,CBE,5,positive,2025-11-13,9,8,Commercial Bank of Ethiopia (CBE) mobile banking works perfectly for me.
CBE_20251203_000004,CBE,5,positive,2025-11-19,8,16,Very good experience with Commercial Bank of Ethiopia (CBE) mobile banking.
CBE_20251203_000005,CBE,3,neutral,2025-11-16,8,7,Commercial Bank of Ethiopia (CBE) app works but needs improvements.
CBE_20251203_000006,CBE,2,negative,2025-11-09,10,18,Commercial Bank of Ethiopia (CBE) app has app crashes. Needs urgent fixing.
CBE_20251203_000007,CBE,5,positive,2025-06-11,9,7,Best banking app! easy to use for Commercial Bank of Ethiopia (CBE).
CBE_20251203_000008,CBE,3,neutral,2025-10-27,7,6,Commercial Bank of Ethiopia (CBE) app is functional but not exceptional.
CBE_20251203_000009,CBE,1,negative,2025-06-21,7,17,Very unhappy with Commercial Bank of Ethiopia (CBE) app quality.
CBE_20251203_000010,CBE,5,positive,2025-06-12,8,40,Commercial Bank of Ethiopia (CBE) app is amazing! convenient banking.
CBE_20251203_000011,CBE,1,negative,2025-06-17,7,24,Very disappointed with Commercial Bank of Ethiopia (CBE). app freezes.
CBE_20251203_000012,CBE,3,neutral,2025-09-02,8,7,Decent app from Commercial Bank of Ethiopia (CBE) for basic banking.
CBE_20251203_000014,CBE,3,neutral,2025-10-11,8,9,Average experience with Commercial Bank of Ethiopia (CBE) mobile banking.
CBE_20251203_000015,CBE,5,positive,2025-09-27,8,30,Commercial Bank of Ethiopia (CBE) app is amazing! excellent app.
CBE_20251203_000016,CBE,1,negative,2025-06-11,7,12,Very disappointed with Commercial Bank of Ethiopia (CBE). transaction failures.
CBE_20251203_000017,CBE,5,positive,2025-07-18,8,9,Commercial Bank of Ethiopia (CBE) has the best banking app in Ethiopia.
CBE_20251203_000018,CBE,5,positive,2025-11-17,8,31,Highly recommend Commercial Bank of Ethiopia (CBE). good UI.
CBE_20251203_000019,CBE,4,positive,2025-10-06,7,4,Excellent app from Commercial Bank of Ethiopia (CBE)! Very satisfied.
CBE_20251203_000020,CBE,1,negative,2025-11-13,8,13,transaction failures with Commercial Bank of Ethiopia (CBE) app. Very frustrating.
CBE_20251203_000021,CBE,1,negative,2025-06-26,10,31,Commercial Bank of Ethiopia (CBE) app has update issues. Needs urgent fixing.
CBE_20251203_000023,CBE,1,negative,2025-09-13,8,19,Worst banking app experience with Commercial Bank of Ethiopia (CBE).
CBE_20251203_000024,CBE,2,negative,2025-08-11,10,16,Commercial Bank of Ethiopia (CBE) app has slow transfers. Needs urgent fixing.
CBE_20251203_000025,CBE,4,positive,2025-07-31,9,5,Best banking app! fast transactions for Commercial Bank of Ethiopia (CBE).
CBE_20251203_000029,CBE,1,negative,2025-06-21,11,21,Commercial Bank of Ethiopia (CBE) app has biometric login fails. Needs urgent fixing.
CBE_20251203_000030,CBE,4,positive,2025-09-13,8,9,Commercial Bank of Ethiopia (CBE) app is amazing! secure banking.
CBE_20251203_000032,CBE,4,positive,2025-09-03,8,16,Great experience with Commercial Bank of Ethiopia (CBE). excellent app.
CBE_20251203_000033,CBE,5,positive,2025-06-25,8,17,Highly recommend Commercial Bank of Ethiopia (CBE). excellent app.
CBE_20251203_000034,CBE,1,negative,2025-10-10,9,29,Poor experience. Commercial Bank of Ethiopia (CBE) app has update issues.
CBE_20251203_000035,CBE,4,positive,2025-07-03,8,13,Great experience with Commercial Bank of Ethiopia (CBE). fast transactions.
CBE_20251203_000036,CBE,1,negative,2025-10-20,10,10,Needs improvement. Commercial Bank of Ethiopia (CBE) app suffers from app crashes.
CBE_20251203_000038,CBE,5,positive,2025-09-02,8,27,Commercial Bank of Ethiopia (CBE) app is amazing! reliable service.
CBE_20251203_000043,CBE,2,negative,2025-07-08,9,9,Commercial Bank of Ethiopia (CBE) mobile banking needs major improvements.
CBE_20251203_000048,CBE,1,negative,2025-07-22,10,21,Commercial Bank of Ethiopia (CBE) app has transaction failures. Needs urgent fixing.
CBE_20251203_000051,CBE,5,positive,2025-06-28,8,25,Great experience with Commercial Bank of Ethiopia (CBE). good UI.
CBE_20251203_000052,CBE,1,negative,2025-10-04,10,7,Commercial Bank of Ethiopia (CBE) app has app freezes. Needs urgent fixing.
CBE_20251203_000056,CBE,4,positive,2025-11-19,9,10,Best banking app! secure banking for Commercial Bank of Ethiopia (CBE).
CBE_20251203_000057,CBE,4,positive,2025-08-22,9,16,Love the Commercial Bank of Ethiopia (CBE) app. Makes banking easy.
CBE_20251203_000058,CBE,1,negative,2025-08-01,10,21,Commercial Bank of Ethiopia (CBE) app has login problems. Needs urgent fixing.
CBE_20251203_000059,CBE,4,positive,2025-07-01,8,13,convenient banking. Love this Commercial Bank of Ethiopia (CBE) app!
CBE_20251203_000062,CBE,2,negative,2025-08-03,7,15,Very disappointed with Commercial Bank of Ethiopia (CBE). app crashes.
CBE_20251203_000063,CBE,5,positive,2025-11-08,8,37,good UI. Love this Commercial Bank of Ethiopia (CBE) app!
CBE_20251203_000064,CBE,4,positive,2025-08-04,8,2,Commercial Bank of Ethiopia (CBE) app is amazing! fast transactions.
CBE_20251203_000066,CBE,5,positive,2025-09-26,8,41,fast transactions. Love this Commercial Bank of Ethiopia (CBE) app!
CBE_20251203_000074,CBE,1,negative,2025-08-09,11,7,Needs improvement. Commercial Bank of Ethiopia (CBE) app suffers from poor customer service.
CBE_20251203_000075,CBE,1,negative,2025-09-17,7,42,Terrible experience with Commercial Bank of Ethiopia (CBE) app.
CBE_20251203_000077,CBE,5,positive,2025-06-13,8,41,reliable service. Love this Commercial Bank of Ethiopia (CBE) app!
CBE_20251203_000082,CBE,1,negative,2025-06-22,7,48,Commercial Bank of Ethiopia (CBE) app is not reliable for banking.
CBE_20251203_000084,CBE,4,positive,2025-10-03,8,14,excellent app. Love this Commercial Bank of Ethiopia (CBE) app!
CBE_20251203_000093,CBE,4,positive,2025-08-14,8,3,Highly recommend Commercial Bank of Ethiopia (CBE). fast transactions.
CBE_20251203_000095,CBE,1,negative,2025-08-04,8,39,app crashes with Commercial Bank of Ethiopia (CBE) app. Very frustrating.
CBE_20251203_000101,CBE,2,negative,2025-09-12,10,6,Poor experience. Commercial Bank of Ethiopia (CBE) app has biometric login fails.
CBE_20251203_000103,CBE,1,negative,2025-07-28,11,35,Needs improvement. Commercial Bank of Ethiopia (CBE) app suffers from biometric login fails.
CBE_20251203_000106,CBE,1,negative,2025-10-19,10,37,Poor experience. Commercial Bank of Ethiopia (CBE) app has poor customer service.
CBE_20251203_000107,CBE,5,positive,2025-10-17,8,29,secure banking. Love this Commercial Bank of Ethiopia (CBE) app!
CBE_20251203_000113,CBE,4,positive,2025-10-01,8,14,Commercial Bank of Ethiopia (CBE) app is amazing! good UI.
CBE_20251203_000117,CBE,5,positive,2025-10-17,8,45,helpful features. Love this Commercial Bank of Ethiopia (CBE) app!
CBE_20251203_000118,CBE,1,negative,2025-09-01,10,44,Needs improvement. Commercial Bank of Ethiopia (CBE) app suffers from transaction failures.
CBE_20251203_000120,CBE,5,positive,2025-11-19,8,33,Highly recommend Commercial Bank of Ethiopia (CBE). reliable service.
CBE_20251203_000121,CBE,5,positive,2025-12-02,9,27,Best banking app! helpful features for Commercial Bank of Ethiopia (CBE).
CBE_20251203_000131,CBE,4,positive,2025-06-13,8,10,Great experience with Commercial Bank of Ethiopia (CBE). easy to use.
CBE_20251203_000133,CBE,2,negative,2025-11-08,10,9,Needs improvement. Commercial Bank of Ethiopia (CBE) app suffers from app freezes.
CBE_20251203_000135,CBE,1,negative,2025-11-11,8,44,slow transfers with Commercial Bank of Ethiopia (CBE) app. Very frustrating.
CBE_20251203_000138,CBE,4,positive,2025-10-18,8,7,Highly recommend Commercial Bank of Ethiopia (CBE). easy to use.
CBE_20251203_000140,CBE,4,positive,2025-08-02,8,7,Great experience with Commercial Bank of Ethiopia (CBE). convenient banking.
CBE_20251203_000143,CBE,5,positive,2025-08-01,8,39,Highly recommend Commercial Bank of Ethiopia (CBE). secure banking.
CBE_20251203_000144,CBE,4,positive,2025-06-15,8,1,Highly recommend Commercial Bank of Ethiopia (CBE). helpful features.
CBE_20251203_000149,CBE,4,positive,2025-11-26,8,8,Highly recommend Commercial Bank of Ethiopia (CBE). convenient banking.
CBE_20251203_000150,CBE,2,negative,2025-11-09,9,16,Poor experience. Commercial Bank of Ethiopia (CBE) app has app freezes.
CBE_20251203_000161,CBE,5,positive,2025-11-15,8,37,Commercial Bank of Ethiopia (CBE) app is amazing! helpful features.
CBE_20251203_000167,CBE,1,negative,2025-10-30,9,21,poor customer service with Commercial Bank of Ethiopia (CBE) app. Very frustrating.
CBE_20251203_000169,CBE,2,negative,2025-09-26,10,2,Needs improvement. Commercial Bank of Ethiopia (CBE) app suffers from slow transfers.
CBE_20251203_000178,CBE,2,negative,2025-09-12,9,16,biometric login fails with Commercial Bank of Ethiopia (CBE) app. Very frustrating.
CBE_20251203_000180,CBE,5,positive,2025-06-13,8,8,Great experience with Commercial Bank of Ethiopia (CBE). secure banking.
CBE_20251203_000184,CBE,5,positive,2025-11-03,9,46,Best banking app! excellent app for Commercial Bank of Ethiopia (CBE).
CBE_20251203_000201,CBE,5,positive,2025-08-13,8,26,Great experience with Commercial Bank of Ethiopia (CBE). helpful features.
CBE_20251203_000209,CBE,4,positive,2025-08-03,8,8,Best banking app! good UI for Commercial Bank of Ethiopia (CBE).
CBE_20251203_000219,CBE,2,negative,2025-06-12,7,11,Very disappointed with Commercial Bank of Ethiopia (CBE). slow transfers.
CBE_20251203_000222,CBE,1,negative,2025-07-04,7,31,Very disappointed with Commercial Bank of Ethiopia (CBE). login problems.
CBE_20251203_000228,CBE,2,negative,2025-07-04,10,6,Needs improvement. Commercial Bank of Ethiopia (CBE) app suffers from update issues.
CBE_20251203_000235,CBE,5,positive,2025-11-09,8,21,Great experience with Commercial Bank of Ethiopia (CBE). reliable service.
CBE_20251203_000241,CBE,2,negative,2025-10-06,9,11,Poor experience. Commercial Bank of Ethiopia (CBE) app has app crashes.
CBE_20251203_000257,CBE,1,negative,2025-08-20,8,18,Very disappointed with Commercial Bank of Ethiopia (CBE). poor customer service.
CBE_20251203_000260,CBE,2,negative,2025-10-01,9,4,Poor experience. Commercial Bank of Ethiopia (CBE) app has slow transfers.
CBE_20251203_000261,CBE,4,positive,2025-08-26,9,6,Best banking app! reliable service for Commercial Bank of Ethiopia (CBE).
CBE_20251203_000296,CBE,2,negative,2025-09-19,11,16,Commercial Bank of Ethiopia (CBE) app has poor customer service. Needs urgent fixing.
CBE_20251203_000304,CBE,1,negative,2025-11-11,8,25,Very disappointed with Commercial Bank of Ethiopia (CBE). biometric login fails.
CBE_20251203_000316,CBE,4,positive,2025-06-21,8,9,easy to use. Love this Commercial Bank of Ethiopia (CBE) app!
CBE_20251203_000334,CBE,1,negative,2025-08-02,8,11,login problems with Commercial Bank of Ethiopia (CBE) app. Very frustrating.
CBE_20251203_000345,CBE,1,negative,2025-06-11,10,28,Needs improvement. Commercial Bank of Ethiopia (CBE) app suffers from login problems.
CBE_20251203_000347,CBE,4,positive,2025-08-29,9,19,Best banking app! convenient banking for Commercial Bank of Ethiopia (CBE).
BOA_20251203_000000,BOA,1,negative,2025-08-23,8,42,Bank of Abyssinia (BOA) mobile banking needs major improvements.
BOA_20251203_000001,BOA,3,neutral,2025-10-01,6,5,Bank of Abyssinia (BOA) app is functional but not exceptional.
BOA_20251203_000002,BOA,2,negative,2025-08-19,9,11,Bank of Abyssinia (BOA) app has login errors. Needs urgent fixing.
BOA_20251203_000003,BOA,2,negative,2025-10-09,6,15,Bank of Abyssinia (BOA) app is not reliable for banking.
BOA_20251203_000005,BOA,1,negative,2025-11-15,9,25,Needs improvement. Bank of Abyssinia (BOA) app suffers from app not working.
BOA_20251203_000006,BOA,4,positive,2025-11-04,8,13,Bank of Abyssinia (BOA) mobile banking works perfectly for me.
BOA_20251203_000007,BOA,4,positive,2025-08-26,7,3,Bank of Abyssinia (BOA) app is amazing! good design.
BOA_20251203_000009,BOA,5,positive,2025-11-27,7,14,Great experience with Bank of Abyssinia (BOA). good design.
BOA_20251203_000010,BOA,3,neutral,2025-09-20,7,2,Bank of Abyssinia (BOA) app is okay but could be better.
BOA_20251203_000012,BOA,1,negative,2025-08-18,6,30,Terrible experience with Bank of Abyssinia (BOA) app.
BOA_20251203_000013,BOA,4,positive,2025-07-26,7,3,reliable transfers. Love this Bank of Abyssinia (BOA) app!
BOA_20251203_000014,BOA,1,negative,2025-07-16,7,14,Worst banking app experience with Bank of Abyssinia (BOA).
BOA_20251203_000015,BOA,1,negative,2025-08-26,9,32,Bank of Abyssinia (BOA) app has app not working. Needs urgent fixing.
BOA_20251203_000016,BOA,4,positive,2025-08-04,7,4,Very good experience with Bank of Abyssinia (BOA) mobile banking.
BOA_20251203_000017,BOA,1,negative,2025-06-13,8,9,Poor experience. Bank of Abyssinia (BOA) app has app not working.
BOA_20251203_000020,BOA,5,positive,2025-10-29,7,7,Best banking app! secure for Bank of Abyssinia (BOA).
BOA_20251203_000021,BOA,1,negative,2025-07-13,8,34,Poor experience. Bank of Abyssinia (BOA) app has slow loading.
BOA_20251203_000022,BOA,4,positive,2025-07-01,9,14,Best banking app! good customer service for Bank of Abyssinia (BOA).
BOA_20251203_000024,BOA,2,negative,2025-08-23,6,16,Very disappointed with Bank of Abyssinia (BOA). login errors.
BOA_20251203_000025,BOA,4,positive,2025-07-22,7,8,Highly recommend Bank of Abyssinia (BOA). good design.
BOA_20251203_000026,BOA,5,positive,2025-10-12,7,21,easy navigation. Love this Bank of Abyssinia (BOA) app!
BOA_20251203_000027,BOA,1,negative,2025-08-12,10,38,Needs improvement. Bank of Abyssinia (BOA) app suffers from customer support issues.
BOA_20251203_000028,BOA,3,neutral,2025-08-18,7,4,Average experience with Bank of Abyssinia (BOA) mobile banking.
BOA_20251203_000030,BOA,1,negative,2025-09-21,6,32,Very unhappy with Bank of Abyssinia (BOA) app quality.
BOA_20251203_000031,BOA,4,positive,2025-09-10,7,19,good design. Love this Bank of Abyssinia (BOA) app!
BOA_20251203_000033,BOA,5,positive,2025-11-08,6,42,Excellent app from Bank of Abyssinia (BOA)! Very satisfied.
BOA_20251203_000034,BOA,3,neutral,2025-08-08,7,5,Decent app from Bank of Abyssinia (BOA) for basic banking.
BOA_20251203_000036,BOA,4,positive,2025-08-30,8,15,Love the Bank of Abyssinia (BOA) app. Makes banking easy.
BOA_20251203_000037,BOA,3,neutral,2025-08-15,7,8,Bank of Abyssinia (BOA) app works but needs improvements.
BOA_20251203_000038,BOA,1,negative,2025-08-05,6,17,Very disappointed with Bank of Abyssinia (BOA). app not working.
BOA_20251203_000039,BOA,1,negative,2025-08-02,7,41,transfer limits with Bank of Abyssinia (BOA) app. Very frustrating.
BOA_20251203_000040,BOA,4,positive,2025-11-29,7,15,Highly recommend Bank of Abyssinia (BOA). reliable transfers.
BOA_20251203_000045,BOA,2,negative,2025-10-19,8,15,Poor experience. Bank of Abyssinia (BOA) app has poor interface.
BOA_20251203_000048,BOA,4,positive,2025-09-14,7,10,Bank of Abyssinia (BOA) app is amazing! easy navigation.
BOA_20251203_000049,BOA,4,positive,2025-11-04,8,16,good customer service. Love this Bank of Abyssinia (BOA) app!
BOA_20251203_000051,BOA,2,negative,2025-11-17,7,19,poor interface with Bank of Abyssinia (BOA) app. Very frustrating.
