review_id,bank,rating,rating_category,date,word_count,thumbs_up,review_text
BOA_20251203_000058,BOA,2,negative,2025-07-20,6,17,Very disappointed with Bank of Abyssinia (BOA). poor interface.
BOA_20251203_000059,BOA,5,positive,2025-09-19,7,7,Great experience with Bank of Abyssinia (BOA). easy navigation.
BOA_20251203_000060,BOA,5,positive,2025-06-19,8,26,Best banking app! helpful features for Bank of Abyssinia (BOA).
BOA_20251203_000062,BOA,2,negative,2025-09-01,8,12,Poor experience. Bank of Abyssinia (BOA) app has frequent bugs.
BOA_20251203_000063,BOA,1,negative,2025-06-19,9,33,Needs improvement. Bank of Abyssinia (BOA) app suffers from frequent bugs.
BOA_20251203_000064,BOA,5,positive,2025-08-26,7,16,Bank of Abyssinia (BOA) has the best banking app in Ethiopia.
BOA_20251203_000066,BOA,4,positive,2025-10-19,6,16,Highly recommend Bank of Abyssinia (BOA). secure.
BOA_20251203_000069,BOA,5,positive,2025-10-28,8,20,Best banking app! reliable transfers for Bank of Abyssinia (BOA).
BOA_20251203_000070,BOA,5,positive,2025-10-17,7,30,Bank of Abyssinia (BOA) app is amazing! reliable transfers.
BOA_20251203_000074,BOA,1,negative,2025-06-22,6,44,Very disappointed with Bank of Abyssinia (BOA). frequent bugs.
BOA_20251203_000079,BOA,1,negative,2025-10-29,7,35,transaction delays with Bank of Abyssinia (BOA) app. Very frustrating.
BOA_20251203_000082,BOA,5,positive,2025-07-28,7,31,helpful features. Love this Bank of Abyssinia (BOA) app!
BOA_20251203_000088,BOA,2,negative,2025-10-13,8,5,Poor experience. Bank of Abyssinia (BOA) app has transfer limits.
BOA_20251203_000089,BOA,5,positive,2025-11-13,7,40,Great experience with Bank of Abyssinia (BOA). reliable transfers.
BOA_20251203_000090,BOA,1,negative,2025-08-17,7,19,Very disappointed with Bank of Abyssinia (BOA). customer support issues.
BOA_20251203_000091,BOA,2,negative,2025-11-07,6,14,Very disappointed with Bank of Abyssinia (BOA). transaction delays.
BOA_20251203_000094,BOA,1,negative,2025-07-18,9,11,Bank of Abyssinia (BOA) app has slow loading. Needs urgent fixing.
BOA_20251203_000099,BOA,1,negative,2025-11-15,8,48,Poor experience. Bank of Abyssinia (BOA) app has login errors.
BOA_20251203_000102,BOA,5,positive,2025-08-29,8,5,Highly recommend Bank of Abyssinia (BOA). good customer service.
BOA_20251203_000106,BOA,2,negative,2025-08-11,6,4,Very disappointed with Bank of Abyssinia (BOA). slow loading.
BOA_20251203_000110,BOA,4,positive,2025-08-10,8,5,Best banking app! easy navigation for Bank of Abyssinia (BOA).
BOA_20251203_000114,BOA,4,positive,2025-09-25,6,4,Great experience with Bank of Abyssinia (BOA). secure.
BOA_20251203_000119,BOA,4,positive,2025-09-23,7,8,Highly recommend Bank of Abyssinia (BOA). easy navigation.
BOA_20251203_000131,BOA,2,negative,2025-06-18,9,17,Needs improvement. Bank of Abyssinia (BOA) app suffers from transaction delays.
BOA_20251203_000139,BOA,5,positive,2025-11-02,8,38,Best banking app! works well for Bank of Abyssinia (BOA).
BOA_20251203_000142,BOA,5,positive,2025-10-20,6,36,Bank of Abyssinia (BOA) app is amazing! secure.
BOA_20251203_000144,BOA,1,negative,2025-09-18,7,20,frequent bugs with Bank of Abyssinia (BOA) app. Very frustrating.
BOA_20251203_000156,BOA,4,positive,2025-10-30,7,14,Great experience with Bank of Abyssinia (BOA). helpful features.
BOA_20251203_000157,BOA,5,positive,2025-06-07,6,31,secure. Love this Bank of Abyssinia (BOA) app!
BOA_20251203_000163,BOA,1,negative,2025-06-07,7,26,login errors with Bank of Abyssinia (BOA) app. Very frustrating.
BOA_20251203_000165,BOA,5,positive,2025-08-26,7,21,works well. Love this Bank of Abyssinia (BOA) app!
BOA_20251203_000166,BOA,5,positive,2025-11-21,7,30,Bank of Abyssinia (BOA) app is amazing! works well.
BOA_20251203_000168,BOA,2,negative,2025-11-09,8,18,customer support issues with Bank of Abyssinia (BOA) app. Very frustrating.
BOA_20251203_000169,BOA,2,negative,2025-09-21,7,2,app not working with Bank of Abyssinia (BOA) app. Very frustrating.
BOA_20251203_000174,BOA,2,negative,2025-09-19,9,6,Needs improvement. Bank of Abyssinia (BOA) app suffers from poor interface.
BOA_20251203_000175,BOA,2,negative,2025-08-07,9,8,Needs improvement. Bank of Abyssinia (BOA) app suffers from slow loading.
BOA_20251203_000177,BOA,5,positive,2025-12-02,7,6,Highly recommend Bank of Abyssinia (BOA). helpful features.
BOA_20251203_000194,BOA,2,negative,2025-06-16,10,2,Bank of Abyssinia (BOA) app has customer support issues. Needs urgent fixing.
BOA_20251203_000197,BOA,5,positive,2025-10-28,8,48,Best banking app! user friendly for Bank of Abyssinia (BOA).
BOA_20251203_000198,BOA,2,negative,2025-07-10,9,8,Bank of Abyssinia (BOA) app has frequent bugs. Needs urgent fixing.
BOA_20251203_000199,BOA,4,positive,2025-11-12,7,5,user friendly. Love this Bank of Abyssinia (BOA) app!
BOA_20251203_000200,BOA,1,negative,2025-08-21,9,19,Poor experience. Bank of Abyssinia (BOA) app has customer support issues.
BOA_20251203_000214,BOA,4,positive,2025-08-01,7,15,Great experience with Bank of Abyssinia (BOA). works well.
BOA_20251203_000215,BOA,4,positive,2025-07-12,7,12,Great experience with Bank of Abyssinia (BOA). user friendly.
BOA_20251203_000222,BOA,4,positive,2025-07-29,8,3,Bank of Abyssinia (BOA) app is amazing! good customer service.
BOA_20251203_000228,BOA,1,negative,2025-11-29,9,41,Needs improvement. Bank of Abyssinia (BOA) app suffers from transfer limits.
BOA_20251203_000240,BOA,2,negative,2025-09-24,9,10,Bank of Abyssinia (BOA) app has transfer limits. Needs urgent fixing.
BOA_20251203_000252,BOA,5,positive,2025-06-07,7,32,Bank of Abyssinia (BOA) app is amazing! user friendly.
BOA_20251203_000256,BOA,4,positive,2025-10-29,7,5,Highly recommend Bank of Abyssinia (BOA). user friendly.
BOA_20251203_000258,BOA,1,negative,2025-06-27,6,5,Very disappointed with Bank of Abyssinia (BOA). transfer limits.
BOA_20251203_000268,BOA,1,negative,2025-10-27,7,13,slow loading with Bank of Abyssinia (BOA) app. Very frustrating.
BOA_20251203_000275,BOA,4,positive,2025-11-15,7,10,Highly recommend Bank of Abyssinia (BOA). works well.
BOA_20251203_000292,BOA,2,negative,2025-07-12,9,10,Needs improvement. Bank of Abyssinia (BOA) app suffers from login errors.
BOA_20251203_000300,BOA,4,positive,2025-07-19,8,4,Best banking app! good design for Bank of Abyssinia (BOA).
BOA_20251203_000301,BOA,4,positive,2025-08-28,8,15,Great experience with Bank of Abyssinia (BOA). good customer service.
Dashen_20251203_000000,Dashen,1,negative,2025-06-10,9,48,Dashen Bank app has poor offline mode. Needs urgent fixing.
Dashen_20251203_000001,Dashen,3,neutral,2025-07-12,5,2,Dashen Bank app is functional but not exceptional.
Dashen_20251203_000002,Dashen,4,positive,2025-07-16,7,6,Highly recommend Dashen Bank. best banking app.
Dashen_20251203_000003,Dashen,4,positive,2025-06-16,6,7,great features. Love this Dashen Bank app!
Dashen_20251203_000004,Dashen,5,positive,2025-08-15,6,12,Dashen Bank app is amazing! secure platform.
Dashen_20251203_000005,Dashen,4,positive,2025-07-17,7,15,Dashen Bank mobile banking works perfectly for me.
Dashen_20251203_000006,Dashen,3,neutral,2025-09-12,6,8,Dashen Bank app is okay but could be better.
Dashen_20251203_000007,Dashen,2,negative,2025-07-27,6,6,login issues with Dashen Bank app. Very frustrating.
Dashen_20251203_000008,Dashen,5,positive,2025-07-25,6,39,Great experience with Dashen Bank. great features.
Dashen_20251203_000009,Dashen,1,negative,2025-11-12,7,37,Poor experience. Dashen Bank app has slow performance.
Dashen_20251203_000011,Dashen,4,positive,2025-10-01,6,18,Dashen Bank app is amazing! user friendly.
Dashen_20251203_000012,Dashen,3,neutral,2025-10-13,6,2,Decent app from Dashen Bank for basic banking.
Dashen_20251203_000013,Dashen,5,positive,2025-11-19,7,15,Love the Dashen Bank app. Makes banking easy.
Dashen_20251203_000014,Dashen,2,negative,2025-10-16,8,14,Dashen Bank app has app crashes. Needs urgent fixing.
Dashen_20251203_000016,Dashen,4,positive,2025-07-04,6,16,Great experience with Dashen Bank. excellent service.
Dashen_20251203_000017,Dashen,4,positive,2025-11-06,6,13,Highly recommend Dashen Bank. good updates.
Dashen_20251203_000020,Dashen,4,positive,2025-09-20,6,4,good updates. Love this Dashen Bank app!
Dashen_20251203_000021,Dashen,5,positive,2025-06-17,6,10,Very good experience with Dashen Bank mobile banking.
Dashen_20251203_000025,Dashen,3,neutral,2025-11-02,6,1,Dashen Bank app works but needs improvements.
Dashen_20251203_000027,Dashen,3,neutral,2025-10-27,6,0,Average experience with Dashen Bank mobile banking.
Dashen_20251203_000028,Dashen,4,positive,2025-07-01,8,13,Best banking app! best banking app for Dashen Bank.
Dashen_20251203_000029,Dashen,5,positive,2025-09-14,6,35,Dashen Bank has the best banking app in Ethiopia.
Dashen_20251203_000030,Dashen,2,negative,2025-10-18,5,18,Very disappointed with Dashen Bank. notification problems.
Dashen_20251203_000031,Dashen,4,positive,2025-09-30,6,8,Dashen Bank app is amazing! fast and reliable.
Dashen_20251203_000032,Dashen,4,positive,2025-09-09,6,7,Highly recommend Dashen Bank. great features.
Dashen_20251203_000034,Dashen,5,positive,2025-06-07,6,14,secure platform. Love this Dashen Bank app!
Dashen_20251203_000035,Dashen,1,negative,2025-09-02,5,41,Terrible experience with Dashen Bank app.
Dashen_20251203_000036,Dashen,5,positive,2025-08-31,6,5,Great experience with Dashen Bank. user friendly.
Dashen_20251203_000041,Dashen,2,negative,2025-10-03,8,17,Needs improvement. Dashen Bank app suffers from login issues.
Dashen_20251203_000042,Dashen,2,negative,2025-11-28,8,15,Dashen Bank app has transaction errors. Needs urgent fixing.
Dashen_20251203_000043,Dashen,2,negative,2025-06-29,7,11,poor offline mode with Dashen Bank app. Very frustrating.
Dashen_20251203_000045,Dashen,1,negative,2025-09-19,8,9,Dashen Bank app has slow performance. Needs urgent fixing.
Dashen_20251203_000046,Dashen,2,negative,2025-11-09,6,12,Worst banking app experience with Dashen Bank.
Dashen_20251203_000048,Dashen,5,positive,2025-09-14,6,28,Great experience with Dashen Bank. good updates.
Dashen_20251203_000049,Dashen,4,positive,2025-07-05,6,11,helpful support. Love this Dashen Bank app!
Dashen_20251203_000050,Dashen,4,positive,2025-07-29,6,5,Great experience with Dashen Bank. secure platform.
Dashen_20251203_000052,Dashen,2,negative,2025-08-03,7,9,Poor experience. Dashen Bank app has login issues.
Dashen_20251203_000053,Dashen,5,positive,2025-06-10,7,30,Great experience with Dashen Bank. best banking app.
Dashen_20251203_000056,Dashen,2,negative,2025-10-27,6,7,notification problems with Dashen Bank app. Very frustrating.
Dashen_20251203_000057,Dashen,2,negative,2025-11-08,7,16,Poor experience. Dashen Bank app has update bugs.
Dashen_20251203_000059,Dashen,5,positive,2025-09-13,6,47,excellent service. Love this Dashen Bank app!
Dashen_20251203_000060,Dashen,4,positive,2025-09-07,6,7,Highly recommend Dashen Bank. fast and reliable.
Dashen_20251203_000062,Dashen,1,negative,2025-08-30,8,32,Needs improvement. Dashen Bank app suffers from app crashes.
Dashen_20251203_000065,Dashen,2,negative,2025-09-28,7,8,Poor experience. Dashen Bank app has notification problems.
Dashen_20251203_000066,Dashen,2,negative,2025-08-22,7,15,Poor experience. Dashen Bank app has transaction errors.
Dashen_20251203_000067,Dashen,2,negative,2025-10-27,7,13,Dashen Bank mobile banking needs major improvements.
Dashen_20251203_000071,Dashen,5,positive,2025-06-12,5,36,Excellent app from Dashen Bank! Very satisfied.
Dashen_20251203_000074,Dashen,4,positive,2025-06-20,6,10,Great experience with Dashen Bank. helpful support.
Dashen_20251203_000075,Dashen,4,positive,2025-10-22,7,7,Dashen Bank app is amazing! best banking app.
Dashen_20251203_000078,Dashen,4,positive,2025-08-06,7,15,Best banking app! secure platform for Dashen Bank.
Dashen_20251203_000079,Dashen,5,positive,2025-09-11,6,16,Dashen Bank app is amazing! good updates.
Dashen_20251203_000090,Dashen,4,positive,2025-08-20,6,19,Great experience with Dashen Bank. fast and reliable.
Dashen_20251203_000093,Dashen,1,negative,2025-06-20,9,35,Needs improvement. Dashen Bank app suffers from poor offline mode.
Dashen_20251203_000102,Dashen,5,positive,2025-10-05,7,18,best banking app. Love this Dashen Bank app!
Dashen_20251203_000105,Dashen,2,negative,2025-07-03,5,13,Very disappointed with Dashen Bank. login issues.
Dashen_20251203_000108,Dashen,5,positive,2025-08-18,7,35,Best banking app! good updates for Dashen Bank.
Dashen_20251203_000112,Dashen,4,positive,2025-10-30,6,19,fast and reliable. Love this Dashen Bank app!
Dashen_20251203_000117,Dashen,1,negative,2025-11-10,8,47,Dashen Bank app has update bugs. Needs urgent fixing.
Dashen_20251203_000119,Dashen,2,negative,2025-09-16,5,7,Very disappointed with Dashen Bank. update bugs.
Dashen_20251203_000127,Dashen,4,positive,2025-09-10,7,10,Best banking app! great features for Dashen Bank.
Dashen_20251203_000138,Dashen,5,positive,2025-08-30,7,22,Best banking app! excellent service for Dashen Bank.
Dashen_20251203_000149,Dashen,5,positive,2025-07-07,6,19,user friendly. Love this Dashen Bank app!
Dashen_20251203_000154,Dashen,1,negative,2025-06-30,5,15,Very disappointed with Dashen Bank. app crashes.
Dashen_20251203_000172,Dashen,5,positive,2025-09-11,6,7,Highly recommend Dashen Bank. user friendly.
Dashen_20251203_000173,Dashen,4,positive,2025-11-25,6,15,Dashen Bank app is amazing! excellent service.
Dashen_20251203_000176,Dashen,2,negative,2025-08-14,5,6,Very disappointed with Dashen Bank. slow performance.
Dashen_20251203_000188,Dashen,2,negative,2025-10-18,8,3,Needs improvement. Dashen Bank app suffers from notification problems.
Dashen_20251203_000190,Dashen,1,negative,2025-12-03,6,27,transaction errors with Dashen Bank app. Very frustrating.
Dashen_20251203_000192,Dashen,5,positive,2025-07-12,7,48,Best banking app! fast and reliable for Dashen Bank.
Dashen_20251203_000195,Dashen,5,positive,2025-10-19,6,5,Dashen Bank app is amazing! great features.
Dashen_20251203_000201,Dashen,1,negative,2025-07-23,8,13,Needs improvement. Dashen Bank app suffers from update bugs.
Dashen_20251203_000208,Dashen,2,negative,2025-11-19,5,4,Very unhappy with Dashen Bank app quality.
Dashen_20251203_000229,Dashen,4,positive,2025-09-09,6,15,Highly recommend Dashen Bank. helpful support.
Dashen_20251203_000236,Dashen,2,negative,2025-09-26,8,4,Poor experience. Dashen Bank app has poor offline mode.
Dashen_20251203_000241,Dashen,5,positive,2025-09-28,6,41,Highly recommend Dashen Bank. excellent service.
Dashen_20251203_000260,Dashen,5,positive,2025-08-18,6,19,Dashen Bank app is amazing! helpful support.
Dashen_20251203_000288,Dashen,4,positive,2025-10-09,7,11,Best banking app! helpful support for Dashen Bank.
Dashen_20251203_000307,Dashen,4,positive,2025-07-28,6,4,Highly recommend Dashen Bank. secure platform.
Dashen_20251203_000316,Dashen,2,negative,2025-09-11,8,14,Needs improvement. Dashen Bank app suffers from slow performance.
Dashen_20251203_000320,Dashen,1,negative,2025-09-18,6,5,slow performance with Dashen Bank app. Very frustrating.
Dashen_20251203_000330,Dashen,2,negative,2025-09-22,8,6,Dashen Bank app has balance errors. Needs urgent fixing.
Dashen_20251203_000338,Dashen,1,negative,2025-09-01,6,7,Very disappointed with Dashen Bank. poor offline mode.
Dashen_20251203_000359,Dashen,2,negative,2025-11-12,6,17,app crashes with Dashen Bank app. Very frustrating.
Dashen_20251203_000377,Dashen,2,negative,2025-09-07,8,4,Dashen Bank app has login issues. Needs urgent fixing.
Dashen_20251203_000383,Dashen,2,negative,2025-08-04,8,8,Needs improvement. Dashen Bank app suffers from balance errors.
